Initial_Speed,Final_Speed,Car_Type
NA,34,SUV
NA,37,Sedan
NA,38,Truck
NA,39,SUV
NA,27,SUV
NA,28,Truck
NA,40,Sedan
NA,25,Truck
NA,32,SUV
NA,32,Truck
NA,36,SUV
NA,35,Sedan
NA,31,SUV
NA,43,SUV
NA,31,Sedan
NA,30,SUV
NA,29,Sedan
NA,28,Truck
NA,33,Sedan
NA,30,Truck
NA,31,SUV
NA,32,Coupe
NA,29,Minivan
NA,27,SUV
NA,35,Truck
NA,29,SUV
NA,30,Coupe
NA,31,Sedan
NA,32,Sedan
NA,31,SUV
NA,34,Sedan
NA,33,SUV
NA,34,Truck
NA,32,Sedan
NA,27,SUV
NA,28,Sedan
NA,33,Truck
NA,32,Sedan
NA,26,SUV
NA,29,SUV
NA,29,SUV
NA,29,Truck
NA,30,Coupe
NA,29,Sedan
NA,31,Sedan
NA,31,SUV
NA,30,Truck
NA,35,SUV
NA,34,SUV
NA,38,Coupe
NA,34,SUV
NA,26,SUV
NA,27,SUV
NA,33,SUV
NA,34,Sedan
NA,29,Truck
NA,30,Truck
NA,39,Truck
NA,36,Sedan
NA,30,Sedan
NA,33,SUV
NA,26,SUV
NA,18,Truck
NA,29,SUV
NA,31,SUV
NA,33,Sedan
NA,29,SUV
NA,30,SUV
NA,30,SUV
NA,31,Sevan
NA,37,Minivan
NA,35,Truck
NA,28,SUV
NA,30,Sedan
NA,30,SUV
NA,31,Truck
NA,31,Minivan
NA,35,Sedan
NA,30,Sedan
NA,28,Sedan
NA,32,Truck
NA,32,Sedan
NA,29,Truck
NA,30,SUV
NA,30,SUV
NA,31,SUV
NA,34,Minivan
NA,26,Truck
NA,19,SUV
NA,27,NA
NA,29,NA
NA,36,NA
NA,32,NA
NA,26,NA
NA,24,NA
NA,27,NA
NA,37,NA
NA,39,NA
NA,33,NA
NA,26,NA
NA,31,NA
NA,32,NA
NA,37,NA
NA,17,NA
NA,23,NA
NA,21,NA
NA,35,NA
NA,26,NA
NA,30,NA
NA,30,NA
NA,35,NA
NA,23,NA
NA,33,NA
NA,35,NA
NA,32,NA
NA,23,NA
NA,27,NA
NA,25,NA
NA,27,NA
NA,25,NA
NA,34,NA
NA,34,NA
NA,34,NA
NA,41,NA
NA,31,NA
NA,35,NA
NA,22,NA
NA,26,NA
NA,23,NA
NA,31,NA
NA,33,NA
NA,28,NA
NA,34,NA
NA,21,NA
NA,29,NA
NA,32,NA
NA,26,NA
NA,34,NA
NA,32,NA
NA,42,NA
NA,24,NA
NA,32,NA
NA,21,NA
NA,32,NA
NA,38,NA
NA,26,NA
NA,21,NA
NA,30,NA
NA,33,NA
NA,27,NA
NA,31,NA
NA,29,NA
NA,28,NA
NA,32,NA
NA,26,NA
NA,38,NA
NA,27,NA
NA,39,NA
NA,31,NA
NA,30,NA
NA,29,NA
NA,24,NA
NA,29,NA
NA,27,NA
NA,28,NA
NA,29,NA
NA,40,NA
NA,25,NA
NA,34,NA
NA,37,NA
NA,26,NA
NA,28,NA
NA,33,NA
NA,31,NA
NA,25,NA
NA,25,NA
NA,34,NA
NA,30,NA
NA,22,NA
NA,31,NA
NA,32,NA
NA,38,NA
NA,41,NA
NA,28,NA
NA,30,NA
NA,32,NA
NA,34,NA
NA,21,NA
NA,24,NA
NA,33,NA
NA,28,NA
NA,28,NA
NA,39,NA
NA,25,NA
NA,36,NA
NA,28,NA
NA,29,NA
NA,27,NA
NA,24,NA
NA,31,NA
NA,33,NA
NA,36,NA
NA,27,NA
NA,31,NA
NA,29,NA
NA,31,NA
NA,31,NA
NA,30,NA
NA,32,NA
NA,25,NA
NA,31,NA
NA,29,NA
NA,33,NA
NA,29,NA
NA,33,NA
NA,30,NA
NA,34,NA
NA,29,NA
NA,30,NA
NA,25,NA
NA,21,NA
NA,24,NA
NA,27,NA
NA,38,NA
NA,26,NA
NA,36,NA
NA,23,NA
NA,31,NA
NA,23,NA
NA,28,NA
NA,31,NA
NA,34,NA
NA,25,NA
NA,30,NA
NA,28,NA
NA,20,NA
NA,31,NA
NA,25,NA
NA,25,NA
NA,32,NA
NA,32,NA
NA,37,NA
NA,35,NA
NA,24,NA
NA,31,NA
NA,31,NA
NA,25,NA
NA,28,NA
NA,32,NA
NA,31,NA
NA,32,NA
NA,28,NA
NA,33,NA
NA,26,NA
NA,29,NA
NA,22,NA
NA,27,NA
NA,27,NA
NA,34,NA
NA,20,NA
NA,28,NA
NA,25,NA
NA,33,NA
NA,14,NA
NA,26,NA
NA,31,NA
NA,22,NA
NA,32,NA
NA,30,NA
NA,37,NA
NA,32,NA
NA,28,NA
NA,30,NA
NA,32,NA
NA,35,NA
NA,15,NA
NA,35,NA
NA,30,NA
NA,30,NA
NA,30,NA
NA,27,NA
NA,26,NA
NA,28,NA
NA,30,NA
NA,26,NA
NA,33,NA
NA,22,NA
NA,30,NA
NA,37,NA
NA,27,NA
NA,29,NA
NA,30,NA
NA,30,NA
NA,37,NA
NA,20,NA
NA,31,NA
NA,25,NA
NA,35,NA
NA,38,NA
NA,32,NA
NA,24,NA
NA,30,NA
NA,22,NA
NA,40,NA
NA,27,NA
NA,27,NA
NA,30,NA
NA,30,NA
NA,32,NA
NA,26,NA
NA,26,NA
NA,29,NA
NA,24,NA
NA,26,NA
33,33,4
33,33,3
31,31,4
30,30,4
29,29,4
31,32,3
31,32,4
27,29,4
27,29,4
27,29,4
27,29,4
27,29,3
35,35,9
31,31,5
35,35,10
30,30,9
28,28,3
34,34,9
35,36,3
30,32,3
36,37,4
32,33,4
31,32,4
34,37,9
28,29,4
30,30,3
30,30,3
38,37,3
30,30,4
30,32,4
30,30,10
29,29,4
30,32,4
37,37,4
30,30,3
29,29,3
30,30,6
29,30,3
33,34,3
34,34,3
37,37,3
33,33,3
27,28,3
28,28,8
33,33,3
33,34,3
33,32,3
30,30,3
33,34,4
34,33,4
27,27,4
29,30,6
34,34,3
35,35,4
35,35,4
35,35,3
33,32,3
37,37,3
35,35,3
37,37,6
35,41,4
27,28,3
29,29,4
30,31,3
30,30,3
30,30,4
33,33,4
40,40,4
32,32,6
25,25,4
24,28,4
34,34,10
29,31,3
31,32,4
32,32,3
26,26,3
35,34,3
34,34,3
34,34,3
34,31,3
27,28,3
13,14,10
18,15,10
24,25,4
34,34,3
31,31,3
27,27,4
37,23,4
33,31,3
31,32,3
32,21,5
39,39,3
35,36,3
28,27,3
35,34,3
39,38,4
33,34,2
29,29,8
29,28,3
30,31,4
29,28,4
36,35,10
35,35,3
36,35,3
35,32,2
36,36,3
33,32,6
35,33,3
35,36,10
34,34,4
32,32,6
32,31,10
26,28,4
32,33,4
30,31,4
34,34,4
36,30,3
29,29,10
30,30,10
33,33,3
30,29,4
33,27,4
30,30,4
29,28,2
28,27,3
33,33,3
37,38,2
35,36,3
38,37,10
41,36,10
34,29,4
30,30,4
30,30,5
39,39,4
28,28,5
37,34,4
30,30,3
30,31,3
37,38,3
36,28,3
33,32,3
35,32,10
32,32,3
29,30,4
30,31,4
36,34,4
32,32,4
32,32,10
33,34,4
40,39,4
30,31,9
31,31,4
31,33,3
33,35,9
27,28,10
24,26,3
26,26,4
26,23,4
26,27,3
28,29,3
29,30,4
29,32,4
28,30,4
25,27,3
30,31,3
31,33,10
33,33,3
37,35,8
28,30,1
30,33,1
37,37,10
36,36,4
28,30,2
35,35,4
29,29,3
37,37,4
31,32,4
27,27,6
31,33,4
32,33,3
29,31,4
25,19,3
25,23,4
28,31,4
35,25,10
20,25,4
28,28,4
28,28,3
31,31,4
31,32,3
27,26,5
29,31,4
29,28,4
28,29,4
28,26,2
26,26,3
29,29,4
29,34,4
22,24,2
27,28,2
28,28,4
27,30,3
33,33,3
33,33,2
29,31,4
28,27,6
25,26,3
26,26,4
33,35,4
29,28,4
26,27,4
22,29,3
31,32,4
30,31,4
31,32,4
31,32,10
34,34,2
15,21,4
30,29,10
35,35,3
30,30,4
35,35,3
26,28,3
30,31,3
27,25,3
