Initial_Speed,Final_Speed,Speed_Change,Car_Type,Weather,Location,Observer,Date,Source
30,30,0,Sedan,,30th st,Rohaan,,speed_counting_cars.xlsx
29,30,1,Sedan,,30th st,Rohaan,,speed_counting_cars.xlsx
31,31,0,Sedan,,30th st,Rohaan,,speed_counting_cars.xlsx
31,31,0,SUV,,30th st,Rohaan,,speed_counting_cars.xlsx
27,28,1,SUV,,30th st,Rohaan,,speed_counting_cars.xlsx
30,31,1,Truck,,30th st,Rohaan,,speed_counting_cars.xlsx
29,30,1,Sedan,,30th st,Rohaan,,speed_counting_cars.xlsx
30,30,0,Sedan,,30th st,Rohaan,,speed_counting_cars.xlsx
29,29,0,SUV,,30th st,Rohaan,,speed_counting_cars.xlsx
34,34,0,Sedan,,30th st,Rohaan,,speed_counting_cars.xlsx
26,26,0,SUV,,30th st,Rohaan,,speed_counting_cars.xlsx
32,32,0,SUV,,30th st,Rohaan,,speed_counting_cars.xlsx
31,30,1,SUV,,30th st,Rohaan,,speed_counting_cars.xlsx
31,30,1,Sedan,,30th st,Rohaan,,speed_counting_cars.xlsx
29,28,1,Sedan,,30th st,Rohaan,,speed_counting_cars.xlsx
28,30,1,Sedan,,30th st,Rohaan,,speed_counting_cars.xlsx
29,30,1,SUV,,30th st,Rohaan,,speed_counting_cars.xlsx
27,27,0,SUV,,30th st,Rohaan,,speed_counting_cars.xlsx
36,36,0,Sedan,,30th st,Rohaan,,speed_counting_cars.xlsx
28,28,0,SUV,,30th st,Rohaan,,speed_counting_cars.xlsx
29,29,0,Sedan,,30th st,Rohaan,,speed_counting_cars.xlsx
31,31,0,Sedan,,30th st,Rohaan,,speed_counting_cars.xlsx
32,33,1,SUV,,30th st,Rohaan,,speed_counting_cars.xlsx
32,32,0,Truck,,30th st,Rohaan,,speed_counting_cars.xlsx
37,35,1,SUV,,30th st,Rohaan,,speed_counting_cars.xlsx
34,34,0,Sedan,,30th st,Rohaan,,speed_counting_cars.xlsx
28,28,0,SUV,,30th st,Rohaan,,speed_counting_cars.xlsx
29,29,0,Sedan,,30th st,Rohaan,,speed_counting_cars.xlsx
31,31,0,Sedan,,30th st,Rohaan,,speed_counting_cars.xlsx
30,30,0,Sedan,,30th st,Rohaan,,speed_counting_cars.xlsx
27,27,0,Sedan,,30th st,Rohaan,,speed_counting_cars.xlsx
29,31,1,Truck,,30th st,Rohaan,,speed_counting_cars.xlsx
33,33,0,SUV,,30th st,Rohaan,,speed_counting_cars.xlsx
31,32,1,Sedan,,30th st,Rohaan,,speed_counting_cars.xlsx
28,28,0,SUV,,30th st,Rohaan,,speed_counting_cars.xlsx
29,30,1,SUV,,30th st,Rohaan,,speed_counting_cars.xlsx
31,31,0,Sedan,,30th st,Rohaan,,speed_counting_cars.xlsx
30,30,0,Sedan,,30th st,Rohaan,,speed_counting_cars.xlsx
34,34,0,SUV,,30th st,Rohaan,,speed_counting_cars.xlsx
36,37,1,Sedan,,30th st,Rohaan,,speed_counting_cars.xlsx
30,30,0,Truck,,30th st,Rohaan,,speed_counting_cars.xlsx
31,31,0,SUV,,30th st,Rohaan,,speed_counting_cars.xlsx
27,27,0,Sedan,,30th st,Rohaan,,speed_counting_cars.xlsx
25,26,1,SUV,,30th st,Rohaan,,speed_counting_cars.xlsx
29,29,0,Sedan,,30th st,Rohaan,,speed_counting_cars.xlsx
30,31,1,SUV,,30th st,Rohaan,,speed_counting_cars.xlsx
31,31,0,Sedan,,30th st,Rohaan,,speed_counting_cars.xlsx
30,31,1,SUV,,30th st,Rohaan,,speed_counting_cars.xlsx
28,29,1,Sedan,,30th st,Rohaan,,speed_counting_cars.xlsx
29,29,0,Sedan,,30th st,Rohaan,,speed_counting_cars.xlsx
28,28,0,Sedan,,30th st,Rohaan,,speed_counting_cars.xlsx
30,31,1,SUV,,30th st,Rohaan,,speed_counting_cars.xlsx
31,31,0,Truck,,30th st,Rohaan,,speed_counting_cars.xlsx
29,29,0,SUV,,30th st,Rohaan,,speed_counting_cars.xlsx
28,29,1,Sedan,,30th st,Rohaan,,speed_counting_cars.xlsx
33,31,1,Sedan,,30th st,Rohaan,,speed_counting_cars.xlsx
30,30,0,SUV,,30th st,Rohaan,,speed_counting_cars.xlsx
29,29,0,SUV,,30th st,Rohaan,,speed_counting_cars.xlsx
27,27,0,Sedan,,30th st,Rohaan,,speed_counting_cars.xlsx
30,30,0,SUV,,30th st,Rohaan,,speed_counting_cars.xlsx
12,34,-22,Sedan,,,,,cars_count.xlsx
40,36,4,Truck,,,,,cars_count.xlsx
26,34,-8,Sedan,,,,,cars_count.xlsx
30,34,-4,Suv,,,,,cars_count.xlsx
32,31,1,Truck,,,,,cars_count.xlsx
27,30,-3,Suv,,,,,cars_count.xlsx
28,29,-1,Suv,,,,,cars_count.xlsx
28,32,-4,Suv,,,,,cars_count.xlsx
31,30,1,Truck,,,,,cars_count.xlsx
30,34,-4,Sedan,,,,,cars_count.xlsx
15,30,-15,Sedan,,,,,cars_count.xlsx
31,33,-2,Truck,,,,,cars_count.xlsx
34,34,0,Sedan,,,,,cars_count.xlsx
31,31,0,Sedan,,,,,cars_count.xlsx
12,29,-17,Sedan,,,,,cars_count.xlsx
14,33,-19,Suv,,,,,cars_count.xlsx
